"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0","LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","HARM_EV,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
21,6,2014,31.80201389,-86.64750833,1,13,34,1,0
27,6,2014,32.45047778,-85.08322778,1,113,5,1,0
1,7,2014,33.57622778,-85.82121111,1,121,5,1,0
27,6,2014,33.38622778,-86.80255,1,73,14,1,0
25,6,2014,30.69285833,-87.86807222,1,3,53,1,0
4,7,2014,30.68346667,-88.04226111,1,97,12,1,0
5,7,2014,32.71321944,-87.27952222,1,105,42,1,1
5,7,2014,33.83779722,-87.3563,1,127,42,1,0
28,6,2014,32.14718889,-87.07414167,1,47,1,1,1
1,7,2014,32.97963056,-86.68903611,1,21,1,1,0
2,7,2014,34.69788889,-87.63455,1,33,12,1,0
5,7,2014,33.17426667,-87.40661389,1,125,24,1,1
6,7,2014,30.56957222,-88.20310556,1,97,8,1,0
12,7,2014,33.64573333,-85.63264722,1,29,42,1,1
12,7,2014,34.01125556,-85.99982222,1,55,43,1,0
11,7,2014,34.19583611,-85.74176944,1,19,32,1,0
3,7,2014,32.83899167,-86.62581389,1,21,8,1,0
8,7,2014,30.57573611,-88.22549167,1,97,12,1,0
7,7,2014,33.45325556,-86.89942778,1,73,12,1,0
6,7,2014,31.20158611,-85.99328889,1,31,42,1,1
5,7,2014,32.37973611,-86.72156667,1,85,12,2,0
7,7,2014,31.41924722,-86.16729444,1,31,12,1,0
3,6,2014,34.84373056,-87.64638056,1,77,12,1,0
16,5,2014,34.54947222,-86.43218056,1,89,12,2,0
6,7,2014,33.67105556,-86.30073333,1,115,42,1,1
6,7,2014,32.30436111,-86.82218889,1,85,1,1,0
6,7,2014,32.31337778,-86.23913611,1,101,8,1,0
3,7,2014,32.46468333,-86.45198333,1,1,9,1,1
11,7,2014,34.51808889,-87.44064722,1,79,30,1,0
14,7,2014,32.60809722,-86.13924722,1,51,42,1,1
15,7,2014,31.19536944,-88.06958333,1,129,5,1,0
16,7,2014,33.63928611,-85.8255,1,15,8,1,0
19,7,2014,31.72206389,-86.82936667,1,13,12,2,0
24,6,2014,33.55659167,-85.725325,1,29,1,1,1
16,7,2014,31.02401667,-85.2445,1,69,42,1,1
5,7,2014,31.29688611,-87.41804167,1,99,42,1,0
21,7,2014,31.27804722,-86.49261944,1,39,18,1,0
25,7,2014,33.90937222,-87.73694167,1,57,12,1,1
24,7,2014,32.33235556,-86.21001389,1,101,33,1,1
20,7,2014,32.08208611,-86.95705833,1,47,32,1,1
17,7,2014,33.49019722,-86.88557778,1,73,30,1,1
22,7,2014,99.9999,999.9999,1,125,12,1,0
27,7,2014,31.42838333,-87.30171389,1,99,12,1,0
25,7,2014,32.92421944,-87.181675,1,7,12,2,0
30,7,2014,31.72161944,-88.07114167,1,25,1,1,0
24,7,2014,33.12862778,-87.64303889,1,125,23,1,0
25,7,2014,31.20953056,-85.44789167,1,69,8,1,0
26,7,2014,32.130575,-86.17441667,1,101,12,1,2
27,7,2014,34.05113611,-86.57596389,1,9,42,1,0
26,7,2014,32.48948611,-85.44863889,1,87,35,1,1
9,7,2014,31.84604167,-85.1674,1,5,12,2,0
30,7,2014,33.66924444,-86.55389722,1,73,1,1,0
20,7,2014,33.41254167,-86.80713611,1,73,12,1,1
4,7,2014,34.54396111,-86.42068611,1,89,8,1,0
16,7,2014,31.83523056,-86.281675,1,41,12,1,0
23,7,2014,31.45650833,-86.63597222,1,39,8,1,0
26,7,2014,31.82378889,-86.81134444,1,13,1,1,1
29,7,2014,34.84263056,-87.58996111,1,77,12,1,0
3,8,2014,32.55388333,-86.30426389,1,51,8,1,0
2,8,2014,31.81560278,-86.61947222,1,13,1,1,0
10,8,2014,30.63109722,-88.10809722,1,97,34,2,1
7,8,2014,34.69313333,-86.70865,1,89,12,1,0
6,8,2014,32.36766111,-86.30938333,1,101,12,1,1
13,1,2014,30.87295833,-87.77645,1,3,8,1,0
25,7,2014,33.80709167,-87.14341944,1,127,12,1,0
1,8,2014,33.39793611,-88.06015278,1,107,12,1,0
1,8,2014,33.26003333,-87.87291667,1,107,30,1,1
2,8,2014,34.61418056,-86.23590278,1,71,9,1,0
26,7,2014,31.6153,-87.5449,1,99,1,1,1
5,8,2014,34.86138333,-86.97395833,1,83,42,1,1
6,8,2014,33.62547778,-86.36427778,1,115,42,1,0
12,8,2014,30.75265556,-88.09495556,1,97,25,2,0
15,7,2014,31.17978611,-85.24874167,1,69,8,1,0
28,7,2014,30.69014722,-88.18428333,1,97,8,1,0
4,8,2014,32.36568056,-86.3717,1,101,32,1,1
8,8,2014,34.03742222,-86.45003889,1,9,12,1,0
9,8,2014,33.79487778,-86.97986944,1,127,41,1,1
10,8,2014,32.77306667,-85.67424722,1,123,42,1,0
11,8,2014,33.46234167,-86.75693611,1,73,12,1,0
15,8,2014,32.90641389,-88.29878333,1,119,34,1,1
9,8,2014,34.94093056,-86.5718,1,89,12,2,0
3,8,2014,34.24329722,-86.95824167,1,43,12,1,0
5,8,2014,30.92125833,-87.95101111,1,3,1,1,0
13,8,2014,34.88974167,-86.82537222,1,83,12,1,0
12,8,2014,33.59728056,-86.69374167,1,73,8,1,0
19,8,2014,33.39322778,-86.03744167,1,121,12,1,0
14,8,2014,31.1283,-87.60208889,1,53,42,1,0
16,8,2014,33.351325,-86.53213889,1,117,12,1,0
16,8,2014,34.47615278,-87.29254167,1,79,12,1,0
18,8,2014,33.87647222,-87.161575,1,127,12,2,1
20,8,2014,34.238725,-86.28817222,1,95,34,1,0
