"DAY,N,16,0","MONTH,N,16,0","YEAR,N,16,0",,"LATITUDE,N,16,8","LONGITUD,N,16,8","STATE,N,16,0","COUNTY,N,16,0","FATALS,N,16,0","DRUNK_DR,N,16,0"
17,5,2013,,33.40095833,-86.81521944,1,73,1,0
20,5,2013,,33.23988056,-87.59309167,1,125,1,0
30,5,2013,,33.99354722,-86.04655278,1,55,1,0
10,6,2013,,34.17443889,-86.62326667,1,43,1,0
13,6,2013,,31.38679722,-87.03440556,1,35,1,0
14,6,2013,,34.81701389,-87.72536389,1,77,2,0
15,6,2013,,31.826475,-85.16315278,1,5,1,0
15,6,2013,,30.65872778,-87.82225833,1,3,1,0
18,6,2013,,34.54136389,-86.92092778,1,103,1,0
18,6,2013,,34.954075,-86.89119444,1,83,1,0
20,6,2013,,31.87833611,-85.25690833,1,5,1,0
21,6,2013,,31.77984444,-85.819625,1,109,2,0
22,6,2013,,32.79144167,-88.14725556,1,119,1,0
23,6,2013,,33.50581944,-87.96009167,1,107,1,1
22,6,2013,,30.77983056,-88.267925,1,97,1,0
24,6,2013,,33.54279722,-86.58638333,1,73,1,0
25,6,2013,,34.53368056,-86.59004722,1,103,1,0
25,6,2013,,31.05518333,-85.40535278,1,69,1,0
27,6,2013,,33.01186111,-87.75758889,1,63,1,0
30,6,2013,,32.74506944,-86.29005833,1,51,2,1
1,7,2013,,33.63171111,-87.27636389,1,127,1,1
2,7,2013,,33.9746,-85.78826667,1,55,1,0
3,7,2013,,34.86505833,-85.61262778,1,71,1,0
4,7,2013,,33.22810833,-85.43303611,1,111,1,0
7,7,2013,,32.63268611,-85.37076389,1,81,1,0
28,6,2013,,30.82976944,-88.08884444,1,97,1,0
26,6,2013,,34.53734167,-86.91141667,1,103,1,0
30,6,2013,,33.77024444,-86.82907778,1,73,1,0
30,6,2013,,34.48698611,-87.572225,1,59,1,0
8,7,2013,,34.14833611,-87.18150556,1,133,1,1
11,7,2013,,32.55753889,-85.82523056,1,123,1,0
1,7,2013,,31.74508056,-88.08076667,1,25,1,0
3,7,2013,,32.25836944,-86.73460556,1,85,1,1
6,7,2013,,30.250875,-87.67220833,1,3,1,1
7,7,2013,,32.25916667,-86.39126667,1,101,1,1
8,7,2013,,34.12523889,-88.12854722,1,93,1,0
10,7,2013,,33.67281944,-88.09025833,1,75,1,1
10,7,2013,,30.43050556,-88.246175,1,97,1,0
11,7,2013,,30.62844722,-88.11788056,1,97,1,0
6,7,2013,,32.67629444,-85.48632778,1,81,1,0
25,6,2013,,30.29602778,-88.13227778,1,97,1,0
21,7,2013,,32.43070278,-85.67788333,1,87,1,1
7,6,2013,,30.44111944,-88.21755278,1,97,1,0
7,7,2013,,32.89047778,-86.71086944,1,21,1,1
8,7,2013,,31.19694722,-87.0559,1,53,1,1
9,7,2013,,32.36441667,-86.36324444,1,101,1,1
9,7,2013,,33.26503889,-86.22271389,1,121,1,0
11,7,2013,,30.43905556,-87.85237222,1,3,1,0
14,7,2013,,34.44102222,-86.266875,1,95,4,0
14,7,2013,,34.00245278,-86.86159722,1,43,1,0
16,7,2013,,31.07389444,-85.405225,1,69,2,0
16,7,2013,,32.73039722,-85.37694167,1,17,1,1
17,7,2013,,32.620325,-86.31051667,1,51,1,0
18,7,2013,,34.29311944,-86.89878056,1,43,1,0
18,7,2013,,31.57730833,-85.93142778,1,31,1,0
19,7,2013,,33.37997778,-86.92629444,1,73,1,0
20,7,2013,,34.53358333,-86.82301389,1,103,1,0
20,7,2013,,34.78666944,-86.73161944,1,89,1,0
21,7,2013,,31.41572778,-85.52773056,1,45,1,0
21,7,2013,,32.54461667,-85.0962,1,81,1,0
22,7,2013,,30.56445833,-88.19603056,1,97,1,0
22,7,2013,,34.76814167,-87.39194444,1,79,1,1
24,7,2013,,32.69210556,-86.080125,1,51,1,0
25,7,2013,,31.448925,-85.62965,1,45,1,1
30,7,2013,,33.38366389,-86.98933611,1,73,1,0
5,8,2013,,32.96159444,-86.75869444,1,21,1,1
26,7,2013,,33.22145278,-86.31975278,1,121,1,0
26,7,2013,,32.05253333,-86.496775,1,85,1,1
10,7,2013,,33.68201389,-86.68210833,1,73,1,0
13,8,2013,,31.99059444,-87.57805556,1,131,1,0
14,7,2013,,33.14873056,-86.87399722,1,117,1,0
22,7,2013,,31.04584167,-86.99636944,1,53,1,1
23,7,2013,,34.51536389,-85.74231667,1,49,1,1
24,7,2013,,33.88763056,-87.15946389,1,127,1,0
26,7,2013,,32.46548333,-86.02386111,1,51,1,1
26,7,2013,,33.49554722,-86.35584444,1,115,1,1
27,7,2013,,30.41388889,-87.86361944,1,3,1,1
28,7,2013,,33.59126944,-86.15896667,1,121,2,0
30,7,2013,,33.15262778,-87.52455,1,125,1,1
17,7,2013,,33.72600278,-86.57277778,1,73,1,0
1,8,2013,,33.92889444,-87.43400833,1,127,1,0
2,8,2013,,31.38425,-87.08085833,1,35,1,0
2,8,2013,,33.42314444,-85.55063889,1,111,1,0
3,8,2013,,34.90325278,-86.73155556,1,89,1,1
4,8,2013,,34.44956944,-86.13853889,1,95,1,1
5,8,2013,,32.99645556,-87.58852222,1,65,1,0
5,8,2013,,32.60939167,-86.35152778,1,51,1,0
1,6,2013,,33.50518333,-86.85596944,1,73,1,1
29,6,2013,,33.44636667,-86.73663056,1,73,1,1
5,8,2013,,33.32228056,-87.57426667,1,125,1,0
14,8,2013,,34.89747778,-87.70825833,1,77,1,1
29,7,2013,,33.38706944,-85.38816944,1,111,1,0
